participant_id,participant_code,cohort_id,age_band,employment_status_at_entry,education_level_at_entry,referral_source,completion_status,enrollment_date,created_at,updated_at,is_active,data_source
4355,PRT-43544354435443544354,948,18-19,Economically Inactive,Level 2,Job Centre,Completed,2023-04-14,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4356,PRT-43554355435543554355,710,20-21,Unemployed,Entry Level,Local Authority,Completed,2025-04-15,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4357,PRT-43564356435643564356,220,18-19,Unemployed,Entry Level,Job Centre,In Progress,2023-09-24,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4358,PRT-43574357435743574357,375,20-21,Economically Inactive,No Qualifications,Job Centre,Early Leaver,2024-03-26,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4359,PRT-43584358435843584358,829,16-17,Unemployed,Level 3+,Partner Organisation,In Progress,2023-12-27,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4360,PRT-43594359435943594359,531,16-17,Unemployed,Level 1,Job Centre,Completed,2025-09-27,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4361,PRT-43604360436043604360,843,20-21,Unemployed,Entry Level,Local Authority,In Progress,2023-03-29,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4362,PRT-43614361436143614361,752,18-19,Unemployed,Level 1,Partner Organisation,Early Leaver,2023-03-30,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4363,PRT-43624362436243624362,61,22-24,Economically Inactive,Level 2,Partner Organisation,Completed,2023-03-31,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4364,PRT-43634363436343634363,509,25+,Part-time Employed,No Qualifications,Self-Referral,Completed,2024-04-01,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4365,PRT-43644364436443644364,973,16-17,Part-time Employed,Level 1,Partner Organisation,Completed,2024-10-02,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4366,PRT-43654365436543654365,534,16-17,Unemployed,No Qualifications,Partner Organisation,Completed,2024-07-03,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4367,PRT-43664366436643664366,1029,16-17,Economically Inactive,No Qualifications,Local Authority,Completed,2025-04-04,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4368,PRT-43674367436743674367,223,20-21,Economically Inactive,Level 2,Job Centre,In Progress,2024-01-05,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4369,PRT-43684368436843684368,320,22-24,Unemployed,Level 2,Partner Organisation,Early Leaver,2024-01-06,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4370,PRT-43694369436943694369,461,20-21,Economically Inactive,Entry Level,Job Centre,Completed,2024-04-07,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4371,PRT-43704370437043704370,1159,25+,Economically Inactive,Level 2,Self-Referral,Completed,2024-04-08,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4372,PRT-43714371437143714371,241,16-17,Unemployed,No Qualifications,Job Centre,Transferred,2024-07-09,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4373,PRT-43724372437243724372,1102,18-19,Economically Inactive,Level 3+,Partner Organisation,Completed,2024-07-10,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4374,PRT-43734373437343734373,661,16-17,Student,Entry Level,Partner Organisation,Completed,2023-01-11,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4375,PRT-43744374437443744374,1023,20-21,Economically Inactive,Level 1,Partner Organisation,Completed,2023-04-12,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4376,PRT-43754375437543754375,501,20-21,Economically Inactive,Level 1,Partner Organisation,Completed,2024-10-13,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4377,PRT-43764376437643764376,54,18-19,Unemployed,Level 1,Partner Organisation,Completed,2024-04-14,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4378,PRT-43774377437743774377,1027,16-17,Economically Inactive,Level 1,Job Centre,Early Leaver,2024-01-15,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4379,PRT-43784378437843784378,583,25+,Part-time Employed,Level 1,Self-Referral,Early Leaver,2024-09-24,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4380,PRT-43794379437943794379,534,18-19,Unemployed,Level 3+,Self-Referral,Completed,2024-06-25,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4381,PRT-43804380438043804380,454,20-21,Economically Inactive,Level 1,Job Centre,Early Leaver,2025-03-27,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4382,PRT-43814381438143814381,856,20-21,Economically Inactive,Level 2,School/College,In Progress,2024-06-27,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4383,PRT-43824382438243824382,423,22-24,Unemployed,Level 1,Self-Referral,Completed,2024-03-29,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4384,PRT-43834383438343834383,1141,22-24,Economically Inactive,Level 2,Job Centre,Completed,2024-06-29,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4385,PRT-43844384438443844384,634,16-17,Unemployed,Level 2,School/College,In Progress,2025-03-31,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4386,PRT-43854385438543854385,321,16-17,Part-time Employed,Entry Level,Job Centre,In Progress,2024-07-01,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4387,PRT-43864386438643864386,1119,16-17,Economically Inactive,No Qualifications,Self-Referral,In Progress,2025-10-02,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4388,PRT-43874387438743874387,235,25+,Unemployed,No Qualifications,Job Centre,Completed,2023-01-03,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4389,PRT-43884388438843884388,547,22-24,Unemployed,Level 3+,Self-Referral,Early Leaver,2025-07-04,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4390,PRT-43894389438943894389,675,25+,Part-time Employed,Level 2,Job Centre,In Progress,2024-10-05,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4391,PRT-43904390439043904390,174,20-21,Unemployed,Level 2,Local Authority,Early Leaver,2023-04-06,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4392,PRT-43914391439143914391,259,20-21,Student,Entry Level,Job Centre,In Progress,2024-04-07,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4393,PRT-43924392439243924392,467,20-21,Unemployed,Level 3+,Self-Referral,Early Leaver,2024-10-08,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4394,PRT-43934393439343934393,859,16-17,Unemployed,Level 1,School/College,In Progress,2024-04-09,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4395,PRT-43944394439443944394,195,16-17,Unemployed,Level 2,Local Authority,In Progress,2023-07-10,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4396,PRT-43954395439543954395,429,16-17,Part-time Employed,No Qualifications,Self-Referral,Completed,2024-10-11,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4397,PRT-43964396439643964396,108,20-21,Unemployed,Entry Level,Job Centre,Completed,2024-07-12,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4398,PRT-43974397439743974397,1093,18-19,Unemployed,Entry Level,School/College,Completed,2025-04-13,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4399,PRT-43984398439843984398,297,20-21,Student,Level 2,Partner Organisation,Completed,2025-04-14,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4400,PRT-43994399439943994399,588,18-19,Economically Inactive,Entry Level,Self-Referral,Completed,2025-07-15,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4401,PRT-44004400440044004400,852,18-19,Part-time Employed,Level 1,Partner Organisation,In Progress,2024-09-24,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4402,PRT-44014401440144014401,622,22-24,Unemployed,Entry Level,School/College,Completed,2024-03-26,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4403,PRT-44024402440244024402,1007,22-24,Unemployed,Entry Level,Job Centre,Completed,2025-03-27,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4404,PRT-44034403440344034403,718,16-17,Unemployed,Entry Level,School/College,Transferred,2025-06-27,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4405,PRT-44044404440444044404,55,25+,Student,Level 2,Self-Referral,In Progress,2024-06-28,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4406,PRT-44054405440544054405,594,25+,Unemployed,Level 3+,Other,Completed,2024-03-30,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4407,PRT-44064406440644064406,43,16-17,Unemployed,Entry Level,Self-Referral,Completed,2024-09-30,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4408,PRT-44074407440744074407,239,20-21,Unemployed,Level 1,Job Centre,Completed,2023-04-01,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4409,PRT-44084408440844084408,256,18-19,Economically Inactive,Level 1,Job Centre,Completed,2024-07-02,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4410,PRT-44094409440944094409,116,18-19,Part-time Employed,Level 2,Self-Referral,In Progress,2024-07-03,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4411,PRT-44104410441044104410,582,20-21,Unemployed,Level 3+,Self-Referral,Completed,2024-01-04,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4412,PRT-44114411441144114411,1021,18-19,Part-time Employed,Level 3+,Job Centre,Completed,2024-04-05,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4413,PRT-44124412441244124412,985,20-21,Unemployed,Level 2,Self-Referral,Early Leaver,2025-10-06,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4414,PRT-44134413441344134413,128,18-19,Unemployed,Level 3+,Job Centre,Completed,2025-07-07,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4415,PRT-44144414441444144414,297,22-24,Unemployed,Level 2,Job Centre,In Progress,2025-04-08,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4416,PRT-44154415441544154415,1088,18-19,Unemployed,No Qualifications,Job Centre,Early Leaver,2024-04-09,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4417,PRT-44164416441644164416,651,16-17,Unemployed,No Qualifications,School/College,In Progress,2025-07-10,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4418,PRT-44174417441744174417,429,16-17,Part-time Employed,Level 2,Job Centre,Early Leaver,2024-10-11,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4419,PRT-44184418441844184418,1001,25+,Unemployed,Level 1,Partner Organisation,Transferred,2024-04-12,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4420,PRT-44194419441944194419,475,16-17,Unemployed,No Qualifications,Partner Organisation,In Progress,2024-04-13,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4421,PRT-44204420442044204420,912,20-21,Student,Entry Level,Self-Referral,Early Leaver,2023-04-14,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4422,PRT-44214421442144214421,826,18-19,Unemployed,Level 2,Self-Referral,Early Leaver,2023-04-15,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4423,PRT-44224422442244224422,1142,25+,Economically Inactive,Level 1,Local Authority,In Progress,2024-03-25,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4424,PRT-44234423442344234423,784,18-19,Unemployed,Level 3+,Self-Referral,In Progress,2023-06-25,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4425,PRT-44244424442444244424,772,25+,Unemployed,No Qualifications,School/College,Completed,2022-12-27,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4426,PRT-44254425442544254425,191,22-24,Part-time Employed,Level 2,Partner Organisation,Early Leaver,2024-03-28,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4427,PRT-44264426442644264426,974,22-24,Unemployed,Level 1,Job Centre,Completed,2025-03-29,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4428,PRT-44274427442744274427,703,16-17,Unemployed,No Qualifications,Partner Organisation,In Progress,2025-06-29,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4429,PRT-44284428442844284428,69,18-19,Unemployed,No Qualifications,Partner Organisation,In Progress,2024-09-30,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4430,PRT-44294429442944294429,462,18-19,Economically Inactive,Level 1,Self-Referral,Completed,2025-07-01,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4431,PRT-44304430443044304430,7,18-19,Economically Inactive,Level 3+,Job Centre,In Progress,2025-04-02,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4432,PRT-44314431443144314431,647,20-21,Unemployed,Entry Level,Self-Referral,Completed,2023-10-03,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4433,PRT-44324432443244324432,1085,18-19,Unemployed,Entry Level,Job Centre,In Progress,2024-04-04,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4434,PRT-44334433443344334433,1158,16-17,Unemployed,Level 1,School/College,Transferred,2023-04-05,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4435,PRT-44344434443444344434,956,18-19,Unemployed,Level 1,Other,In Progress,2023-04-06,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4436,PRT-44354435443544354435,282,18-19,Unemployed,Entry Level,Self-Referral,Completed,2025-04-07,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4437,PRT-44364436443644364436,1107,18-19,Economically Inactive,Level 1,School/College,Completed,2025-07-08,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4438,PRT-44374437443744374437,42,20-21,Economically Inactive,No Qualifications,Job Centre,In Progress,2023-07-09,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4439,PRT-44384438443844384438,513,16-17,Economically Inactive,No Qualifications,Self-Referral,Completed,2025-01-10,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4440,PRT-44394439443944394439,1181,16-17,Part-time Employed,No Qualifications,School/College,Completed,2024-07-11,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4441,PRT-44404440444044404440,413,22-24,Economically Inactive,Level 2,Self-Referral,In Progress,2024-07-12,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4442,PRT-44414441444144414441,481,25+,Unemployed,Level 1,Local Authority,Completed,2023-07-13,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4443,PRT-44424442444244424442,1044,20-21,Student,Level 2,Local Authority,Completed,2024-07-14,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4444,PRT-44434443444344434443,530,25+,Unemployed,Level 2,School/College,Completed,2023-07-15,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4445,PRT-44444444444444444444,1094,20-21,Unemployed,Level 2,Self-Referral,In Progress,2025-06-24,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4446,PRT-44454445444544454445,404,25+,Unemployed,Level 2,Job Centre,In Progress,2023-03-26,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4447,PRT-44464446444644464446,1072,20-21,Unemployed,Level 2,Self-Referral,Early Leaver,2024-03-27,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4448,PRT-44474447444744474447,447,16-17,Unemployed,Level 1,Partner Organisation,Early Leaver,2022-12-28,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4449,PRT-44484448444844484448,1048,18-19,Unemployed,Level 3+,Partner Organisation,Completed,2025-03-29,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4450,PRT-44494449444944494449,1186,20-21,Unemployed,Level 2,Partner Organisation,Early Leaver,2023-03-30,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4451,PRT-44504450445044504450,1131,18-19,Economically Inactive,No Qualifications,Job Centre,Completed,2023-03-31,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4452,PRT-44514451445144514451,573,16-17,Student,Level 1,Self-Referral,Completed,2023-01-01,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4453,PRT-44524452445244524452,397,25+,Unemployed,No Qualifications,Self-Referral,Completed,2024-04-02,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4454,PRT-44534453445344534453,724,16-17,Economically Inactive,Entry Level,Self-Referral,Transferred,2024-07-03,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4455,PRT-44544454445444544454,709,18-19,Unemployed,Entry Level,Self-Referral,Completed,2024-04-04,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4456,PRT-44554455445544554455,444,20-21,Unemployed,Level 2,Self-Referral,Early Leaver,2024-07-05,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4457,PRT-44564456445644564456,691,25+,Economically Inactive,Level 3+,Self-Referral,Transferred,2024-04-06,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4458,PRT-44574457445744574457,762,16-17,Unemployed,Level 1,Job Centre,Completed,2024-01-07,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4459,PRT-44584458445844584458,537,18-19,Economically Inactive,No Qualifications,School/College,Completed,2025-04-08,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4460,PRT-44594459445944594459,597,22-24,Unemployed,Level 2,Partner Organisation,Early Leaver,2023-04-09,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4461,PRT-44604460446044604460,722,16-17,Unemployed,Level 3+,Partner Organisation,Completed,2024-07-10,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4462,PRT-44614461446144614461,740,18-19,Economically Inactive,Entry Level,Job Centre,Early Leaver,2024-10-11,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4463,PRT-44624462446244624462,826,20-21,Unemployed,Entry Level,Partner Organisation,Completed,2023-04-12,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4464,PRT-44634463446344634463,1058,18-19,Economically Inactive,Entry Level,Self-Referral,Completed,2024-04-13,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4465,PRT-44644464446444644464,687,18-19,Unemployed,Level 1,Job Centre,Early Leaver,2024-04-14,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4466,PRT-44654465446544654465,693,18-19,Unemployed,Entry Level,School/College,Completed,2024-10-15,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4467,PRT-44664466446644664466,46,25+,Unemployed,No Qualifications,Job Centre,Completed,2024-12-25,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4468,PRT-44674467446744674467,573,18-19,Part-time Employed,Level 3+,Job Centre,Completed,2022-12-26,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4469,PRT-44684468446844684468,1085,16-17,Unemployed,Level 1,Partner Organisation,Completed,2024-03-27,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4470,PRT-44694469446944694469,664,25+,Economically Inactive,Level 2,Job Centre,In Progress,2024-06-27,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4471,PRT-44704470447044704470,845,18-19,Part-time Employed,No Qualifications,School/College,Completed,2024-06-28,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4472,PRT-44714471447144714471,314,22-24,Economically Inactive,Level 1,Job Centre,Completed,2023-06-29,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4473,PRT-44724472447244724472,796,16-17,Unemployed,No Qualifications,Job Centre,Transferred,2024-03-31,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4474,PRT-44734473447344734473,83,16-17,Unemployed,Level 2,Self-Referral,Completed,2024-10-01,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4475,PRT-44744474447444744474,992,18-19,Part-time Employed,Level 1,Self-Referral,In Progress,2024-04-02,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4476,PRT-44754475447544754475,284,22-24,Part-time Employed,No Qualifications,Partner Organisation,Completed,2024-04-03,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4477,PRT-44764476447644764476,421,25+,Part-time Employed,Level 2,Partner Organisation,Early Leaver,2023-04-04,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4478,PRT-44774477447744774477,1101,20-21,Unemployed,Level 3+,Job Centre,Completed,2023-04-05,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4479,PRT-44784478447844784478,457,25+,Unemployed,Level 2,School/College,Completed,2025-04-06,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4480,PRT-44794479447944794479,539,20-21,Part-time Employed,Level 2,School/College,Early Leaver,2025-04-07,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4481,PRT-44804480448044804480,919,18-19,Unemployed,Level 3+,Job Centre,Completed,2023-04-08,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4482,PRT-44814481448144814481,566,25+,Unemployed,Level 2,Self-Referral,Completed,2024-01-09,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4483,PRT-44824482448244824482,1066,20-21,Unemployed,No Qualifications,School/College,In Progress,2023-01-10,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4484,PRT-44834483448344834483,57,20-21,Economically Inactive,No Qualifications,Self-Referral,Completed,2024-10-11,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4485,PRT-44844484448444844484,947,20-21,Unemployed,Entry Level,Partner Organisation,In Progress,2024-04-12,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
